signal_id,bar_utc,event,reason,entry,sl,tp,decision_utc,ema,adx,spread_points,sl_touched,tp_touched,bar_utc_chart_label,decision_utc_chart_label
1,2026-04-27 09:00:00+00:00,DETECTED,Decision at candle close,4713.78,4719.88,,2026-04-27 09:15:00+00:00,,,,,,2026.04.27 12:00:00,2026.04.27 12:15:00
1,2026-04-27 09:00:00+00:00,WAIT,EMA/ADX/session filter failed; existing order unchanged,4713.78,4719.88,,,4708.160566444863,28.149162540457674,,,,2026.04.27 12:00:00,
1,2026-04-27 09:15:00+00:00,WAIT,EMA/ADX/session filter failed; existing order unchanged,4713.78,4719.88,,,4708.365138231821,26.65188563689827,,,,2026.04.27 12:15:00,
1,2026-04-27 09:30:00+00:00,WAIT,EMA/ADX/session filter failed; existing order unchanged,4713.78,4719.88,,,4708.443985828671,24.887961318451207,,,,2026.04.27 12:30:00,
1,2026-04-27 09:45:00+00:00,WAIT,EMA/ADX/session filter failed; existing order unchanged,4713.78,4719.88,,,4708.592051369801,23.41993863665951,,,,2026.04.27 12:45:00,
1,2026-04-27 10:00:00+00:00,WAIT,Trend filter failed; existing order unchanged,4713.78,4719.88,,,,,,,,2026.04.27 13:00:00,
1,2026-04-27 10:15:00+00:00,WAIT,Trend filter failed; existing order unchanged,4713.78,4719.88,,,,,,,,2026.04.27 13:15:00,
1,2026-04-27 10:30:00+00:00,WAIT,Trend filter failed; existing order unchanged,4713.78,4719.88,,,,,,,,2026.04.27 13:30:00,
1,2026-04-27 10:45:00+00:00,WAIT,Trend filter failed; existing order unchanged,4713.78,4719.88,,,,,,,,2026.04.27 13:45:00,
1,2026-04-27 11:00:00+00:00,WAIT,Trend filter failed; existing order unchanged,4713.78,4719.88,,,,,,,,2026.04.27 14:00:00,
1,2026-04-27 11:15:00+00:00,WAIT,Trend filter failed; existing order unchanged,4713.78,4719.88,,,,,,,,2026.04.27 14:15:00,
1,2026-04-27 11:30:00+00:00,WAIT,Trend filter failed; existing order unchanged,4711.95,4719.88,,,,,,,,2026.04.27 14:30:00,
1,2026-04-27 11:45:00+00:00,WAIT,Trend filter failed; existing order unchanged,4711.95,4719.88,,,,,,,,2026.04.27 14:45:00,
1,2026-04-27 12:00:00+00:00,CANCELLED,SL breached or risk outside permitted distance,4708.29,4719.88,,,,,,,,2026.04.27 15:00:00,
2,2026-04-28 06:00:00+00:00,DETECTED,Decision at candle close,4671.4,4679.88,,2026-04-28 06:15:00+00:00,,,,,,2026.04.28 09:00:00,2026.04.28 09:15:00
2,2026-04-28 06:00:00+00:00,WAIT,Limit not passive or too close to market; existing order unchanged,4671.4,4679.88,,,,,,,,2026.04.28 09:00:00,
2,2026-04-28 06:15:00+00:00,WAIT,Limit not passive or too close to market; existing order unchanged,4671.4,4679.88,,,,,,,,2026.04.28 09:15:00,
2,2026-04-28 06:30:00+00:00,WAIT,Trend filter failed; existing order unchanged,4671.4,4679.88,,,,,,,,2026.04.28 09:30:00,
