signal_id,role,bar_utc,open,high,low,close,spread,bar_utc_chart_label
1,context,2026-04-27 08:00:00+00:00,4725.13,4725.58,4718.18,4718.42,8.0,2026.04.27 11:00:00
1,before_spike,2026-04-27 08:15:00+00:00,4718.41,4719.88,4715.94,4718.21,8.0,2026.04.27 11:15:00
1,spike,2026-04-27 08:30:00+00:00,4718.21,4718.4,4709.03,4711.54,8.0,2026.04.27 11:30:00
1,after_spike,2026-04-27 08:45:00+00:00,4711.57,4713.78,4708.63,4710.01,8.0,2026.04.27 11:45:00
1,signal,2026-04-27 09:00:00+00:00,4710.0,4715.68,4709.19,4714.55,8.0,2026.04.27 12:00:00
2,context,2026-04-28 05:00:00+00:00,4670.69,4677.96,4666.56,4677.3,8.0,2026.04.28 08:00:00
2,before_spike,2026-04-28 05:15:00+00:00,4677.36,4679.88,4674.52,4675.53,10.0,2026.04.28 08:15:00
2,spike,2026-04-28 05:30:00+00:00,4675.57,4675.64,4670.58,4671.04,8.0,2026.04.28 08:30:00
2,after_spike,2026-04-28 05:45:00+00:00,4671.06,4671.4,4666.56,4669.25,8.0,2026.04.28 08:45:00
2,signal,2026-04-28 06:00:00+00:00,4669.24,4674.44,4668.57,4673.06,8.0,2026.04.28 09:00:00
3,context,2026-04-28 19:15:00+00:00,4585.24,4586.48,4578.6,4583.57,8.0,2026.04.28 22:15:00
3,before_spike,2026-04-28 19:30:00+00:00,4583.65,4586.93,4581.49,4585.11,8.0,2026.04.28 22:30:00
3,spike,2026-04-28 19:45:00+00:00,4585.0,4594.91,4583.9,4592.28,8.0,2026.04.28 22:45:00
3,after_spike,2026-04-28 20:00:00+00:00,4592.3,4594.99,4588.66,4593.84,8.0,2026.04.28 23:00:00
3,signal,2026-04-28 20:15:00+00:00,4593.76,4597.34,4587.35,4593.54,8.0,2026.04.28 23:15:00
4,context,2026-04-29 03:30:00+00:00,4600.12,4604.84,4599.27,4603.72,8.0,2026.04.29 06:30:00
4,before_spike,2026-04-29 03:45:00+00:00,4603.77,4604.06,4596.25,4600.25,8.0,2026.04.29 06:45:00
4,spike,2026-04-29 04:00:00+00:00,4600.24,4600.39,4575.81,4582.65,8.0,2026.04.29 07:00:00
4,after_spike,2026-04-29 04:15:00+00:00,4582.54,4586.58,4579.28,4580.45,8.0,2026.04.29 07:15:00
4,signal,2026-04-29 04:30:00+00:00,4580.46,4591.5,4578.92,4590.36,10.0,2026.04.29 07:30:00
5,context,2026-04-29 11:15:00+00:00,4565.3,4571.51,4565.18,4566.66,8.0,2026.04.29 14:15:00
5,before_spike,2026-04-29 11:30:00+00:00,4566.49,4568.94,4557.25,4568.23,8.0,2026.04.29 14:30:00
5,spike,2026-04-29 11:45:00+00:00,4568.24,4576.8,4568.18,4573.25,8.0,2026.04.29 14:45:00
5,after_spike,2026-04-29 12:00:00+00:00,4573.35,4575.69,4570.3,4574.27,8.0,2026.04.29 15:00:00
5,signal,2026-04-29 12:15:00+00:00,4574.12,4580.92,4565.8,4565.81,8.0,2026.04.29 15:15:00
6,context,2026-04-30 06:45:00+00:00,4561.55,4561.56,4555.78,4556.3,11.0,2026.04.30 09:45:00
6,before_spike,2026-04-30 07:00:00+00:00,4556.15,4556.73,4550.96,4555.37,8.0,2026.04.30 10:00:00
6,spike,2026-04-30 07:15:00+00:00,4555.44,4557.04,4546.06,4547.37,8.0,2026.04.30 10:15:00
6,after_spike,2026-04-30 07:30:00+00:00,4547.36,4547.73,4540.95,4544.75,8.0,2026.04.30 10:30:00
6,signal,2026-04-30 07:45:00+00:00,4544.68,4549.52,4541.99,4542.14,11.0,2026.04.30 10:45:00
7,context,2026-04-30 09:15:00+00:00,4566.2,4571.05,4563.65,4569.56,8.0,2026.04.30 12:15:00
7,before_spike,2026-04-30 09:30:00+00:00,4569.58,4578.49,4569.58,4575.23,8.0,2026.04.30 12:30:00
7,spike,2026-04-30 09:45:00+00:00,4575.24,4591.6,4574.71,4589.56,8.0,2026.04.30 12:45:00
7,after_spike,2026-04-30 10:00:00+00:00,4589.53,4595.68,4586.26,4591.7,8.0,2026.04.30 13:00:00
7,signal,2026-04-30 10:15:00+00:00,4591.75,4593.78,4584.88,4591.57,8.0,2026.04.30 13:15:00
8,context,2026-05-01 22:00:00+00:00,4623.83,4626.16,4619.98,4625.78,8.0,2026.05.02 01:00:00
8,before_spike,2026-05-01 22:15:00+00:00,4625.79,4627.19,4623.78,4623.82,8.0,2026.05.02 01:15:00
8,spike,2026-05-01 22:30:00+00:00,4624.02,4624.14,4610.84,4611.46,8.0,2026.05.02 01:30:00
8,after_spike,2026-05-01 22:45:00+00:00,4611.38,4614.72,4608.34,4609.46,8.0,2026.05.02 01:45:00
8,signal,2026-05-01 23:00:00+00:00,4610.33,4612.15,4606.48,4610.6,8.0,2026.05.02 02:00:00
9,context,2026-05-04 13:00:00+00:00,4575.49,4575.93,4537.67,4542.1,8.0,2026.05.04 16:00:00
9,before_spike,2026-05-04 13:15:00+00:00,4542.05,4545.31,4526.0,4545.03,8.0,2026.05.04 16:15:00
9,spike,2026-05-04 13:30:00+00:00,4545.04,4564.1,4543.18,4558.7,8.0,2026.05.04 16:30:00
9,after_spike,2026-05-04 13:45:00+00:00,4558.56,4566.95,4558.33,4562.63,8.0,2026.05.04 16:45:00
9,signal,2026-05-04 14:00:00+00:00,4563.02,4570.83,4561.33,4565.41,8.0,2026.05.04 17:00:00
10,context,2026-05-04 20:45:00+00:00,4526.11,4526.68,4521.54,4522.37,8.0,2026.05.04 23:45:00
10,before_spike,2026-05-04 21:00:00+00:00,4522.43,4525.41,4518.69,4520.02,8.0,2026.05.05 00:00:00
10,spike,2026-05-04 21:15:00+00:00,4520.02,4520.34,4509.87,4511.89,8.0,2026.05.05 00:15:00
10,after_spike,2026-05-04 21:30:00+00:00,4511.91,4515.06,4510.63,4511.87,8.0,2026.05.05 00:30:00
10,signal,2026-05-04 21:45:00+00:00,4512.09,4516.58,4510.78,4516.32,8.0,2026.05.05 00:45:00
11,context,2026-05-05 18:45:00+00:00,4573.01,4575.58,4568.17,4568.36,8.0,2026.05.05 21:45:00
11,before_spike,2026-05-05 19:00:00+00:00,4568.34,4568.83,4562.03,4566.26,8.0,2026.05.05 22:00:00
11,spike,2026-05-05 19:15:00+00:00,4566.25,4566.34,4556.57,4560.23,8.0,2026.05.05 22:15:00
11,after_spike,2026-05-05 19:30:00+00:00,4560.36,4560.7,4554.25,4556.39,8.0,2026.05.05 22:30:00
11,signal,2026-05-05 19:45:00+00:00,4556.37,4562.31,4555.19,4560.67,8.0,2026.05.05 22:45:00
12,context,2026-05-06 01:15:00+00:00,4550.59,4550.95,4546.43,4546.79,8.0,2026.05.06 04:15:00
12,before_spike,2026-05-06 01:30:00+00:00,4546.78,4550.93,4546.31,4548.77,8.0,2026.05.06 04:30:00
12,spike,2026-05-06 01:45:00+00:00,4548.64,4577.4,4547.08,4573.12,8.0,2026.05.06 04:45:00
12,after_spike,2026-05-06 02:00:00+00:00,4573.21,4590.62,4569.51,4588.81,10.0,2026.05.06 05:00:00
12,signal,2026-05-06 02:15:00+00:00,4588.75,4589.56,4582.15,4582.23,10.0,2026.05.06 05:15:00
13,context,2026-05-06 13:00:00+00:00,4701.79,4705.75,4695.89,4698.13,8.0,2026.05.06 16:00:00
13,before_spike,2026-05-06 13:15:00+00:00,4698.0,4704.78,4695.54,4704.44,8.0,2026.05.06 16:15:00
13,spike,2026-05-06 13:30:00+00:00,4704.45,4716.02,4704.45,4714.22,8.0,2026.05.06 16:30:00
