direction,setup_time,setup_pos_time,entry,sl,spike_body,second_entry_active,signal_id,tp,entry_time,outcome,exit_time,setup_time_chart_label,entry_time_chart_label,exit_time_chart_label
SELL,2026-04-30 07:45:00+00:00,2026-04-30 07:45:00+00:00,4547.73,4556.73,8.069999999999709,False,6,4538.73,2026-04-30 08:00:00+00:00,SL,2026-04-30 08:15:00+00:00,2026.04.30 10:45:00,2026.04.30 11:00:00,2026.04.30 11:15:00
SELL,2026-05-05 19:45:00+00:00,2026-05-05 19:45:00+00:00,4560.7,4568.83,6.020000000000437,False,11,4552.57,2026-05-05 20:15:00+00:00,TP,2026-05-05 22:45:00+00:00,2026.05.05 22:45:00,2026.05.05 23:15:00,2026.05.06 01:45:00
SELL,2026-05-13 06:00:00+00:00,2026-05-13 06:00:00+00:00,4697.07,4704.14,5.649999999999636,False,25,4690.0,2026-05-13 06:15:00+00:00,SL,2026-05-13 06:30:00+00:00,2026.05.13 09:00:00,2026.05.13 09:15:00,2026.05.13 09:30:00
SELL,2026-05-14 23:30:00+00:00,2026-05-14 23:30:00+00:00,4651.32,4659.06,4.010000000000218,False,32,4643.58,2026-05-14 23:45:00+00:00,SL,2026-05-15 01:15:00+00:00,2026.05.15 02:30:00,2026.05.15 02:45:00,2026.05.15 04:15:00
SELL,2026-05-19 07:30:00+00:00,2026-05-19 07:30:00+00:00,4543.23,4549.57,4.769999999999527,False,38,4536.89,2026-05-19 07:45:00+00:00,TP,2026-05-19 08:15:00+00:00,2026.05.19 10:30:00,2026.05.19 10:45:00,2026.05.19 11:15:00
BUY,2026-05-22 07:00:00+00:00,2026-05-22 07:00:00+00:00,4527.67,4519.21,5.009999999999309,False,44,4536.13,2026-05-22 07:30:00+00:00,SL,2026-05-22 08:45:00+00:00,2026.05.22 10:00:00,2026.05.22 10:30:00,2026.05.22 11:45:00
BUY,2026-05-29 07:45:00+00:00,2026-05-29 07:45:00+00:00,4509.51,4501.05,6.859999999999673,False,58,4517.97,2026-05-29 08:30:00+00:00,TP,2026-05-29 09:00:00+00:00,2026.05.29 10:45:00,2026.05.29 11:30:00,2026.05.29 12:00:00
SELL,2026-06-01 01:30:00+00:00,2026-06-01 01:30:00+00:00,4536.7,4543.71,5.579999999999927,False,61,4529.69,2026-06-01 01:45:00+00:00,SL,2026-06-01 02:15:00+00:00,2026.06.01 04:30:00,2026.06.01 04:45:00,2026.06.01 05:15:00
BUY,2026-06-15 10:30:00+00:00,2026-06-15 10:30:00+00:00,4313.22,4304.23,5.380000000000109,False,78,4322.21,2026-06-15 10:45:00+00:00,TP,2026-06-15 10:45:00+00:00,2026.06.15 13:30:00,2026.06.15 13:45:00,2026.06.15 13:45:00
SELL,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,4325.76,4332.38,6.130000000000109,False,81,4319.14,2026-06-17 08:15:00+00:00,SL,2026-06-17 08:30:00+00:00,2026.06.17 10:45:00,2026.06.17 11:15:00,2026.06.17 11:30:00
SELL,2026-06-19 05:30:00+00:00,2026-06-19 05:30:00+00:00,4180.27,4187.47,4.8400000000001455,False,88,4173.07,2026-06-19 05:45:00+00:00,TP,2026-06-19 06:00:00+00:00,2026.06.19 08:30:00,2026.06.19 08:45:00,2026.06.19 09:00:00
BUY,2026-07-03 10:00:00+00:00,2026-07-03 10:00:00+00:00,4170.22,4160.48,6.180000000000291,False,108,4179.96,2026-07-03 10:15:00+00:00,TP,2026-07-03 10:45:00+00:00,2026.07.03 13:00:00,2026.07.03 13:15:00,2026.07.03 13:45:00
SELL,2026-07-15 10:45:00+00:00,2026-07-15 10:45:00+00:00,4025.96,4034.33,4.800000000000182,False,119,4017.59,2026-07-15 11:15:00+00:00,SL,2026-07-15 12:00:00+00:00,2026.07.15 13:45:00,2026.07.15 14:15:00,2026.07.15 15:00:00
SELL,2026-07-23 21:00:00+00:00,2026-07-23 21:00:00+00:00,4044.36,4050.59,4.390000000000327,False,132,4038.13,2026-07-23 21:15:00+00:00,SL,2026-07-23 22:30:00+00:00,2026.07.24 00:00:00,2026.07.24 00:15:00,2026.07.24 01:30:00
