signal_id,direction,signal_bar_utc,decision_utc,initial_entry,initial_sl,initial_tp,signal_ema,signal_adx,status,signal_bar_utc_chart_label,decision_utc_chart_label
1,BUY,2026-07-30 12:10:00+00:00,2026-07-30 12:15:00+00:00,4065.8,4059.53,4072.07,4053.1939456344408,37.21675311199437,TP,2026.07.30 15:10:00,2026.07.30 15:15:00
2,BUY,2026-07-30 22:10:00+00:00,2026-07-30 22:15:00+00:00,4102.77,4098.88,4106.66,4101.0322305413665,9.079454162759687,CANCELLED,2026.07.31 01:10:00,2026.07.31 01:15:00
3,SELL,2026-07-30 23:50:00+00:00,2026-07-30 23:55:00+00:00,4103.57,4109.01,4098.13,4105.444625910004,23.154611454098394,SL,2026.07.31 02:50:00,2026.07.31 02:55:00
4,BUY,2026-07-31 01:45:00+00:00,2026-07-31 01:50:00+00:00,4109.55,4107.04,4112.06,4106.117978189958,14.616838363643357,CANCELLED,2026.07.31 04:45:00,2026.07.31 04:50:00
5,SELL,2026-07-31 02:20:00+00:00,2026-07-31 02:25:00+00:00,4107.56,4111.78,4103.34,4106.628451389057,13.117723466135546,CANCELLED,2026.07.31 05:20:00,2026.07.31 05:25:00
6,SELL,2026-07-31 12:15:00+00:00,2026-07-31 12:20:00+00:00,4058.06,4063.99,4052.13,4071.0664343179947,34.98416644603171,CANCELLED,2026.07.31 15:15:00,2026.07.31 15:20:00
7,SELL,2026-07-31 12:30:00+00:00,2026-07-31 12:35:00+00:00,4053.27,4057.18,4049.36,4069.2531726876423,37.39192279917634,SL,2026.07.31 15:30:00,2026.07.31 15:35:00
8,SELL,2026-07-31 14:40:00+00:00,2026-07-31 14:45:00+00:00,4055.68,4060.85,4050.51,4061.1782656912073,18.625720916097997,REPLACED,2026.07.31 17:40:00,2026.07.31 17:45:00
9,SELL,2026-07-31 15:30:00+00:00,2026-07-31 15:35:00+00:00,4052.2,4059.35,4045.05,4059.0190257990057,18.120099989291514,CANCELLED,2026.07.31 18:30:00,2026.07.31 18:35:00
10,SELL,2026-08-03 08:20:00+00:00,2026-08-03 08:25:00+00:00,4057.97,4062.97,4052.97,4062.4790104776935,24.737429207586505,SL,2026.08.03 11:20:00,2026.08.03 11:25:00
11,BUY,2026-08-03 12:55:00+00:00,2026-08-03 13:00:00+00:00,4055.92,4051.55,4060.29,4059.3159175335695,22.733330456258695,CANCELLED,2026.08.03 15:55:00,2026.08.03 16:00:00
12,BUY,2026-08-03 14:55:00+00:00,2026-08-03 15:00:00+00:00,4059.17,4051.13,4067.21,4055.7713158724364,25.92778439821033,SL,2026.08.03 17:55:00,2026.08.03 18:00:00
13,SELL,2026-08-03 21:00:00+00:00,2026-08-03 21:05:00+00:00,4031.19,4036.43,4025.95,4037.4520212838115,12.924805640244912,CANCELLED,2026.08.04 00:00:00,2026.08.04 00:05:00
14,BUY,2026-08-03 21:50:00+00:00,2026-08-03 21:55:00+00:00,4040.49,4036.85,4044.13,4037.8597840426623,20.900807664918265,CANCELLED,2026.08.04 00:50:00,2026.08.04 00:55:00
15,SELL,2026-08-03 23:05:00+00:00,2026-08-03 23:10:00+00:00,4052.19,4055.64,4048.74,4043.1334181880366,45.2959839749321,CANCELLED,2026.08.04 02:05:00,2026.08.04 02:10:00
16,SELL,2026-08-04 03:30:00+00:00,2026-08-04 03:35:00+00:00,4060.87,4064.44,4057.3,4052.153249355351,36.48409471242698,CANCELLED,2026.08.04 06:30:00,2026.08.04 06:35:00
17,SELL,2026-08-04 04:05:00+00:00,2026-08-04 04:10:00+00:00,4050.6,4058.07,4043.13,4052.146666047844,30.997771917720076,SL,2026.08.04 07:05:00,2026.08.04 07:10:00
18,BUY,2026-08-04 07:35:00+00:00,2026-08-04 07:40:00+00:00,4060.61,4055.98,4065.24,4056.099081900461,19.846257782338853,SL,2026.08.04 10:35:00,2026.08.04 10:40:00
19,BUY,2026-08-04 09:50:00+00:00,2026-08-04 09:55:00+00:00,4060.04,4055.73,4064.35,4059.310342846572,18.28020549773971,CANCELLED,2026.08.04 12:50:00,2026.08.04 12:55:00
20,SELL,2026-08-04 18:25:00+00:00,2026-08-04 18:30:00+00:00,4077.77,4085.57,4069.97,4074.1147755718616,23.075747221089415,CANCELLED,2026.08.04 21:25:00,2026.08.04 21:30:00
21,SELL,2026-08-04 21:45:00+00:00,2026-08-04 21:50:00+00:00,4080.04,4085.76,4074.32,4084.617628337328,25.25764138620927,SL,2026.08.05 00:45:00,2026.08.05 00:50:00
22,SELL,2026-08-05 02:30:00+00:00,2026-08-05 02:35:00+00:00,4069.54,4074.67,4064.41,4078.5456281655283,25.205888396696896,SL,2026.08.05 05:30:00,2026.08.05 05:35:00
23,BUY,2026-08-05 04:20:00+00:00,2026-08-05 04:25:00+00:00,4085.0,4079.72,4090.28,4078.6470973278824,19.921029635423462,REPLACED,2026.08.05 07:20:00,2026.08.05 07:25:00
24,BUY,2026-08-05 04:45:00+00:00,2026-08-05 04:50:00+00:00,4089.47,4080.14,4098.8,4080.317329276407,19.26453757220812,CANCELLED,2026.08.05 07:45:00,2026.08.05 07:50:00
25,BUY,2026-08-05 09:15:00+00:00,2026-08-05 09:20:00+00:00,4168.92,4160.2,4177.64,4131.5387759506875,55.62160239328949,CANCELLED,2026.08.05 12:15:00,2026.08.05 12:20:00
26,SELL,2026-08-05 10:35:00+00:00,2026-08-05 10:40:00+00:00,4165.57,4169.39,4161.75,4147.424138068075,35.703982918149215,CANCELLED,2026.08.05 13:35:00,2026.08.05 13:40:00
